1 120695000
2 123005000
3 119055000
4 119975000
5 119125000
6 120315000
7 121260000
8 121750000
9 121115000
10 122500000
11 119985000
12 121120000
13 122195000
14 120190000
15 118985000
16 120195000
17 120280000
18 118650000
19 121425000
20 118870000
21 117795000
22 119090000
23 119345000
24 121500000
25 122790000
26 119870000
27 119805000
28 120720000
29 120665000
30 119455000
31 123940000
32 120120000
33 118540000
34 119990000
35 118020000
36 119720000
37 119255000
38 123580000
39 120540000
40 117890000
41 124285000
42 120940000
43 122620000
44 119950000
45 119670000
46 122395000
47 122465000
48 120965000
49 121715000
50 120275000
51 120385000
52 121010000
53 120920000
54 122520000
55 119725000
56 121470000
57 119715000
58 120505000
59 120460000
60 119850000
61 120940000
62 121005000
63 119250000
64 121765000
65 123945000
66 120875000
67 120300000
68 120580000
69 120655000
70 121050000
71 118720000
72 123095000
73 120505000
74 120195000
75 122225000
76 123310000
77 120035000
78 122660000
79 121075000
80 120150000
81 121590000
82 117905000
83 120315000
84 120175000
85 121460000
86 122820000
87 122900000
88 117895000
89 121365000
90 118695000
91 120390000
92 117120000
93 120010000
94 120515000
95 119525000
96 121485000
97 119900000
98 120365000
99 121845000
100 119585000
101 121440000
102 121500000
103 121990000
104 122735000
105 121305000
106 122185000
107 117785000
108 119620000
109 119640000
110 120715000
111 120555000
112 121075000
113 121225000
114 121545000
115 119135000
116 121260000
117 120655000
118 121115000
119 120550000
120 121810000
